Date,SPX,Gold,CPI,Bonds,XLRE,XLC,PICK,XAR,KBE,XLY,VPU,VNQ,XBI,VDE,VDC,IYR,IYH,ITA,XHB,XLU,SOXX,KIE,IYE,XLF,VHT,IXP,XME,IYK,IYM,XSD,IYC,IBB,VIS,XLK,ITB,IAT,IYF,XLI,XTN,IYW,IYJ,IDU,VGT,IYT,XLB,XLV,IYZ,VAW,IAK,VCR,VOX,XLP,VFH,SMH,XLE
03/01/2000,1455.219971,9.33,171,6.58,-1,-1,-1,-1,-1,22.43064117,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.2616787,-1,-1,-1,11.22370243,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.4198761,-1,-1,-1,18.26288223,-1,-1,-1,-1,-1,-1,14.66502666,20.70644379,-1,-1,-1,-1,-1,12.38952732,-1,-1,13.62833881
04/01/2000,1399.420044,9.05,170.9,6.49,-1,-1,-1,-1,-1,21.75585365,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.92197323,-1,-1,-1,10.73305321,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.3185463,-1,-1,-1,17.75832748,-1,-1,-1,-1,-1,-1,14.5238409,20.23656654,-1,-1,-1,-1,-1,12.04064655,-1,-1,13.37180042
05/01/2000,1402.109985,9.02,171.2,6.62,-1,-1,-1,-1,-1,21.48828316,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.19758129,-1,-1,-1,10.64872169,-1,-1,-1,-1,-1,-1,-1,-1,-1,38.73482132,-1,-1,-1,17.67918587,-1,-1,-1,-1,-1,-1,15.12386513,20.0550251,-1,-1,-1,-1,-1,12.2533741,-1,-1,13.72453499
06/01/2000,1403.449951,8.98,172.2,6.57,-1,-1,-1,-1,-1,21.73259735,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.17835617,-1,-1,-1,11.11636829,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.45066071,-1,-1,-1,17.91662979,-1,-1,-1,-1,-1,-1,15.51210403,20.11909866,-1,-1,-1,-1,-1,12.48312569,-1,-1,14.25363827
07/01/2000,1441.469971,9.07,172.7,6.52,-1,-1,-1,-1,-1,22.75639915,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.27449799,-1,-1,-1,11.30036736,-1,-1,-1,-1,-1,-1,-1,-1,-1,38.10441589,-1,-1,-1,18.59924889,-1,-1,-1,-1,-1,-1,15.50327206,20.36471558,-1,-1,-1,-1,-1,13.27449226,-1,-1,14.40595245
10/01/2000,1457.599976,9.05,173.9,6.57,-1,-1,-1,-1,-1,22.64005661,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.3129549,-1,-1,-1,11.10103321,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.55200195,-1,-1,-1,18.59924889,-1,-1,-1,-1,-1,-1,15.45033646,22.4471035,-1,-1,-1,-1,-1,12.97666359,-1,-1,14.28570843
11/01/2000,1438.560059,9.07,174.2,6.67,-1,-1,-1,-1,-1,22.51207924,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.19116879,-1,-1,-1,10.91704941,-1,-1,-1,-1,-1,-1,-1,-1,-1,38.43128204,-1,-1,-1,18.36181068,-1,-1,-1,-1,-1,-1,15.2650404,21.84909439,-1,-1,-1,-1,-1,12.97666359,-1,-1,14.30173588
12/01/2000,1432.25,9.07,174.6,6.72,-1,-1,-1,-1,-1,22.38410759,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.07580185,-1,-1,-1,11.13170528,-1,-1,-1,-1,-1,-1,-1,-1,-1,38.26785278,-1,-1,-1,18.14416504,-1,-1,-1,-1,-1,-1,15.04444695,21.48600197,-1,-1,-1,-1,-1,13.04474163,-1,-1,14.23760605
13/01/2000,1449.680054,9.07,174.6,6.63,-1,-1,-1,-1,-1,22.50045395,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.97324562,-1,-1,-1,11.46902943,-1,-1,-1,-1,-1,-1,-1,-1,-1,38.61807251,-1,-1,-1,18.49043083,-1,-1,-1,-1,-1,-1,15.10621452,22.12673759,-1,-1,-1,-1,-1,13.11280632,-1,-1,14.48612213
14/01/2000,1465.150024,9.11,174.6,6.69,-1,-1,-1,-1,-1,22.44227982,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.06298065,-1,-1,-1,11.73735714,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.50531387,-1,-1,-1,18.36181068,-1,-1,-1,-1,-1,-1,15.00032806,21.93451118,-1,-1,-1,-1,-1,13.15536213,-1,-1,14.39793873
